     #Rep       r/D      r/D        <U_z>           <p>   <U_r(rms)>  <U_phi(rms)>  <U_z(rms)>     <UW(res)>     <UW(vsc)>     <UW(tot)>     <UUU(res)>     <UVV(res)>     <UWW(res)>   <TKE(res)>    <Dissip>
       1   0.0026   0.00521  19.310192    -0.12571138   0.6569696      0.65668121  0.87701815  0.0057374738  5.715242E-05  0.0057946262  -0.0016223351  -5.416218E-04  -0.0051893605  0.81179969   80.358088
       2   0.00781  0.01042  19.309978    -0.12718419   0.65674967     0.65645994  0.87756261  0.015165486   6.003293E-04  0.015765815   -0.0046387216  -0.001498799   -0.016211889   0.81248031    6.2810414
       3   0.01302  0.01562  19.307941    -0.12768962   0.65675163     0.6561529   0.87816642  0.024474245   0.0016524673  0.026126713   -0.0077438861  -0.0023935855  -0.027071521   0.81276643    2.9639402
       4   0.01823  0.02083  19.303781    -0.1283377    0.65693845     0.65595676  0.8790018   0.0338425     0.0027779033  0.036620403   -0.011014565   -0.0034158183  -0.037457712   0.81344477    2.8670501
       5   0.02344  0.02604  19.297524    -0.12917339   0.65728511     0.65593446  0.88034581  0.043300085   0.0038816728  0.047181757   -0.01445322    -0.0044850904  -0.047266478   0.81478766    2.8594465
       6   0.02865  0.03125  19.289225    -0.13018017   0.65777279     0.65611233  0.88253969  0.052881914   0.0049436892  0.057825603   -0.018027598   -0.0055346215  -0.056651886   0.81710291    2.8711095
       7   0.03385  0.03646  19.278985    -0.13133183   0.65839019     0.65653741  0.88584657  0.062609023   0.005939879   0.068548902   -0.021690998   -0.0065110783  -0.065844287   0.82065158    2.8894667
       8   0.03906  0.04167  19.26695     -0.13260046   0.65913375     0.65729258  0.89037783  0.072477674   0.0068513969  0.079329071   -0.025392933   -0.0073990455  -0.075030762   0.82559555    2.9095149
       9   0.04427  0.04687  19.253292    -0.13395759   0.66000301     0.65845997  0.89609783  0.082458071   0.007671748   0.090129819   -0.029089      -0.0082293068  -0.084326068   0.83197477    2.9297381
      10   0.04948  0.05208  19.238181    -0.13537373   0.66099427     0.66008038  0.90287597  0.092507472   0.0084070002  0.10091447    -0.032740792   -0.0090396196  -0.093805554   0.83971937    2.9509151
